age,monthly_income,loan_amount,repayment_period,transaction_volume_mtd,avg_mpesa_balance,utility_payment_timeliness,has_previous_loan,gender,region,default
22,89518,3409,7,25,9041,early,1,F,Mombasa,0
27,85158,35229,30,130,7348,late,1,M,Mombasa,1
50,71537,31846,30,93,143,late,1,M,Nairobi,1
55,52645,36036,14,21,6398,early,1,M,Nyeri,1
30,28283,40322,60,60,5142,on-time,1,F,Kisumu,1
48,91971,28167,7,54,1659,early,0,M,Kisumu,0
53,97759,29991,7,139,6135,on-time,1,M,Mombasa,0
41,64123,18801,30,122,7171,on-time,1,F,Mombasa,0
32,35024,8358,14,126,4294,on-time,0,F,Mombasa,0
46,54630,23588,30,54,4051,early,0,F,Eldoret,0
25,35734,18671,30,64,247,on-time,1,M,Kisumu,1
22,5515,18502,7,129,2270,on-time,0,F,Mombasa,1
46,71727,26128,60,120,8403,on-time,0,M,Nyeri,0
21,51216,32645,7,139,5218,on-time,0,M,Eldoret,1
29,76833,8637,30,92,7255,early,0,F,Nairobi,0
19,63755,1660,14,109,7397,on-time,1,F,Eldoret,0
44,32856,42675,14,59,4263,on-time,1,F,Eldoret,1
48,78870,7922,60,68,8126,on-time,1,F,Eldoret,0
53,29162,29161,60,100,9119,early,0,F,Nyeri,1
53,11008,45721,60,48,8167,on-time,1,F,Kisumu,1
43,12987,4970,30,134,3039,late,1,M,Mombasa,1
44,67532,4407,30,54,5827,late,1,F,Nyeri,1
22,8332,28843,60,115,8164,on-time,1,M,Nyeri,1
37,71323,10046,14,141,3716,on-time,0,M,Mombasa,0
28,43990,24800,14,103,5505,on-time,1,M,Eldoret,1
27,14873,15547,14,88,7385,early,1,M,Nairobi,1
57,87542,38528,30,34,8451,on-time,1,M,Eldoret,0
55,90761,32389,7,69,5980,early,1,M,Eldoret,1
23,41444,31346,14,28,1113,on-time,0,F,Kisumu,1
25,40340,23748,14,94,8843,late,1,M,Eldoret,1
40,10033,47233,14,110,7491,late,1,M,Nairobi,1
43,78324,37855,60,81,1275,late,0,M,Nyeri,1
29,20689,26848,30,72,9455,early,1,F,Eldoret,1
43,92134,8607,60,113,5347,late,0,M,Nyeri,1
30,5066,37787,60,149,7618,early,0,M,Kisumu,1
57,50246,34583,7,101,6390,on-time,0,F,Nairobi,1
35,12533,13563,60,137,1408,on-time,0,F,Mombasa,1
42,85639,47060,7,96,9784,on-time,0,F,Mombasa,1
50,75152,49926,60,92,9533,late,1,M,Kisumu,1
57,64658,34690,14,54,4927,on-time,0,F,Nairobi,1
29,43498,46697,30,107,5364,on-time,1,F,Nyeri,1
53,16772,30176,60,116,1877,early,1,F,Kisumu,1
21,94385,15925,7,50,159,late,0,M,Eldoret,1
22,54036,22251,30,15,9925,on-time,1,F,Nyeri,0
54,63531,18648,7,16,7086,on-time,1,M,Eldoret,1
25,17940,21108,14,145,7960,on-time,1,M,Eldoret,1
59,21932,11979,60,68,8627,on-time,1,F,Nyeri,1
45,61827,3722,30,12,9122,on-time,1,M,Eldoret,1
48,66431,6355,14,13,1692,on-time,1,M,Mombasa,0
26,29648,47069,60,134,4480,on-time,0,M,Nyeri,1
46,37966,29799,60,82,6197,late,1,F,Kisumu,1
31,32777,36318,7,145,6558,late,1,M,Mombasa,1
57,37567,33705,7,6,9251,early,1,F,Kisumu,1
58,22174,44909,14,78,5817,early,0,M,Nairobi,1
39,47598,24070,7,135,4266,on-time,1,F,Kisumu,1
28,64199,12284,14,138,6588,on-time,0,M,Nyeri,0
40,18798,22737,14,91,8257,on-time,1,M,Kisumu,1
18,70364,24241,14,9,9413,on-time,1,F,Nairobi,0
54,22558,28414,7,135,5519,late,1,M,Eldoret,1
38,66084,21895,30,142,9390,on-time,1,F,Nyeri,0
43,49237,27771,14,18,8434,on-time,1,F,Mombasa,1
53,70497,2384,30,128,1146,late,1,M,Mombasa,1
40,5178,23689,60,47,9360,on-time,1,F,Kisumu,1
18,91006,28475,7,32,7736,on-time,1,M,Mombasa,0
57,22118,9252,7,28,4287,on-time,1,F,Nairobi,0
32,27616,31844,30,21,3440,on-time,0,F,Mombasa,1
38,5798,31151,60,87,6277,on-time,0,F,Kisumu,1
26,12601,41006,60,49,4873,on-time,1,M,Mombasa,1
26,30363,24365,14,78,3535,on-time,0,M,Eldoret,1
27,7795,7026,7,143,7400,on-time,1,M,Eldoret,1
43,50264,33767,60,65,7002,on-time,0,M,Mombasa,1
58,77833,29523,60,42,5899,on-time,1,F,Nyeri,0
52,8084,11482,14,70,1065,on-time,0,M,Mombasa,1
42,81646,47569,14,37,7544,late,1,M,Eldoret,1
43,5731,49888,30,47,9471,on-time,0,F,Eldoret,1
28,6129,49348,7,116,6778,early,1,M,Nairobi,1
55,33022,42432,60,39,600,on-time,1,M,Kisumu,1
19,6605,26108,30,41,4654,on-time,1,F,Nairobi,1
24,82506,1493,7,104,149,on-time,1,M,Nyeri,0
35,49130,17465,30,27,9261,early,1,M,Kisumu,0
44,34265,40767,7,93,1087,early,1,M,Mombasa,1
51,37330,30550,7,19,6871,on-time,0,M,Mombasa,1
44,73469,14833,60,136,1215,on-time,0,M,Nyeri,0
34,20187,3970,7,26,4032,late,0,F,Eldoret,1
41,30791,33779,14,82,9771,on-time,0,M,Mombasa,1
42,95436,30958,60,149,4534,on-time,1,M,Nairobi,1
24,75610,49319,14,76,3667,late,1,M,Eldoret,1
23,96962,18145,30,102,1758,early,1,M,Mombasa,0
41,44867,36953,30,94,8044,on-time,1,M,Eldoret,1
50,5893,2806,7,113,5900,early,0,M,Kisumu,0
46,24773,6664,7,98,4476,on-time,0,M,Mombasa,0
39,9239,29900,14,84,8117,early,1,M,Mombasa,1
43,25863,15126,14,98,2915,early,0,F,Eldoret,1
45,56415,46662,14,84,1070,late,1,M,Kisumu,1
38,73968,6154,30,42,7920,on-time,0,M,Nairobi,0
24,65430,23208,14,138,5612,late,1,M,Kisumu,1
34,6515,14767,60,138,307,on-time,1,F,Nairobi,1
37,19605,21043,60,30,359,on-time,1,M,Nyeri,1
58,61240,48994,30,105,5125,early,1,F,Kisumu,1
37,10586,2525,14,79,4458,on-time,0,M,Nairobi,0
39,36186,34528,14,42,9074,on-time,0,M,Eldoret,1
45,31928,17978,7,87,604,early,0,M,Nairobi,1
57,88087,47648,60,147,9865,on-time,0,M,Nyeri,1
24,92029,2055,30,60,1859,on-time,1,F,Nairobi,0
18,25711,11046,14,109,7614,on-time,1,F,Kisumu,0
49,59962,36851,7,35,7860,on-time,0,M,Nairobi,1
30,25039,16678,30,62,3894,late,1,M,Kisumu,1
47,41561,45876,30,77,3690,early,1,M,Nyeri,1
40,80483,27624,60,136,7070,on-time,1,M,Nairobi,0
36,86395,43418,14,14,9693,on-time,1,F,Nairobi,1
49,93658,39725,30,77,9080,early,1,M,Nyeri,0
47,6577,6255,7,19,6385,on-time,1,F,Nairobi,1
46,33350,10411,7,102,3429,on-time,1,F,Kisumu,0
46,38798,43459,30,67,4112,early,1,F,Mombasa,1
47,86417,37163,7,23,2192,early,0,M,Mombasa,0
33,15785,34971,30,117,3067,late,0,M,Kisumu,1
57,77227,32235,7,67,9361,early,1,F,Nairobi,1
36,66957,20194,30,120,1775,on-time,0,F,Kisumu,0
35,70431,20476,30,25,4496,early,1,F,Nyeri,0
18,22297,4044,30,149,387,early,1,M,Kisumu,0
31,76894,41040,7,85,885,on-time,0,M,Mombasa,1
19,68772,22057,30,70,2416,on-time,0,F,Eldoret,0
45,24581,4514,60,69,2938,on-time,1,M,Nyeri,0
47,60192,10990,30,47,7329,early,0,M,Nairobi,0
55,6462,39960,14,61,8237,late,0,M,Kisumu,1
21,69173,44535,14,142,8218,on-time,1,F,Nyeri,1
18,20511,8507,60,41,1365,early,0,M,Mombasa,0
25,81106,5857,30,124,3083,on-time,1,M,Nairobi,0
46,53665,13118,14,73,6001,early,0,F,Kisumu,0
56,49414,4146,30,60,8031,on-time,1,F,Kisumu,0
20,86010,27401,14,123,8243,on-time,1,M,Nairobi,0
49,77573,27177,7,59,8130,early,1,F,Eldoret,0
27,98665,39524,7,42,8362,early,1,F,Eldoret,0
27,18386,5414,60,19,711,on-time,1,M,Nyeri,0
36,59460,18494,60,148,7328,late,0,F,Kisumu,1
51,11221,21437,30,81,3623,early,1,F,Nyeri,1
50,28474,4937,60,57,5612,early,0,M,Nairobi,0
40,26045,37731,30,11,3802,on-time,1,M,Nyeri,1
45,96319,22326,7,59,5524,on-time,1,M,Kisumu,0
49,9922,39665,7,56,8482,early,1,F,Eldoret,1
24,27706,9974,14,8,1728,on-time,0,M,Eldoret,0
46,47771,48145,30,47,8007,on-time,0,F,Nairobi,1
25,57335,18500,7,44,3472,early,1,M,Mombasa,0
18,57949,49824,7,125,8308,on-time,1,M,Nyeri,1
20,75714,2750,30,34,9889,early,1,F,Nairobi,0
41,20240,5027,14,142,9358,on-time,1,F,Eldoret,1
40,96756,45296,14,107,3239,late,0,M,Kisumu,1
25,7716,6745,14,11,2359,on-time,1,F,Kisumu,1
54,21574,22448,14,113,2350,on-time,0,M,Mombasa,1
20,88255,43447,7,24,6221,on-time,0,F,Mombasa,0
50,78717,29451,30,53,8281,on-time,0,M,Eldoret,0
45,49066,29207,30,100,383,late,1,M,Mombasa,1
25,66826,6938,7,63,5825,on-time,0,F,Mombasa,0
51,25213,13150,7,94,8018,on-time,1,M,Kisumu,1
52,76916,14406,7,30,5337,on-time,0,M,Nyeri,0
49,71151,20781,60,40,8894,on-time,0,F,Kisumu,0
41,55906,38621,30,130,9655,on-time,1,F,Kisumu,1
31,5463,19325,30,47,4175,early,0,M,Eldoret,1
49,36973,4148,30,103,6262,on-time,1,F,Eldoret,1
33,79694,29879,14,37,7736,on-time,1,M,Nyeri,0
21,25651,8933,7,104,5837,on-time,0,M,Nairobi,0
54,73694,10436,7,101,9092,late,1,F,Mombasa,1
38,25008,18669,7,49,9051,on-time,1,M,Mombasa,1
31,75474,7474,60,92,8102,early,1,M,Kisumu,1
48,43185,48447,30,147,7172,late,1,M,Kisumu,1
35,92924,12228,7,99,1593,late,1,M,Nyeri,1
24,79417,34538,60,21,9106,on-time,0,M,Mombasa,0
27,76139,2843,7,144,472,early,0,F,Kisumu,0
24,39980,1073,14,26,5687,on-time,1,F,Kisumu,0
50,27504,17059,30,94,7171,early,0,M,Eldoret,1
40,59970,21733,60,82,2991,late,0,F,Nairobi,1
38,21766,41768,7,144,6686,on-time,1,F,Nyeri,1
36,98922,26395,30,118,7723,on-time,1,F,Nairobi,0
36,16695,21202,60,72,3419,late,0,F,Nairobi,1
53,22796,14273,30,114,4067,on-time,0,M,Nyeri,1
46,47543,49889,30,129,922,late,1,F,Mombasa,1
35,19559,34099,14,145,321,late,0,F,Kisumu,1
19,38139,8512,30,61,6980,early,1,F,Nyeri,0
18,13802,29231,60,59,9679,early,1,F,Kisumu,1
22,78843,24274,30,86,3988,on-time,1,F,Eldoret,1
37,45205,38699,60,111,5400,late,1,F,Nairobi,1
28,39159,46510,30,106,3370,late,0,M,Eldoret,1
59,16516,23409,7,115,4793,on-time,0,F,Nairobi,1
19,55492,47194,14,111,7666,early,1,F,Mombasa,1
20,34086,6113,7,106,4093,early,1,F,Nyeri,1
40,35480,42187,14,7,2698,on-time,0,F,Mombasa,1
29,57091,3881,60,29,1766,on-time,0,M,Nairobi,0
37,52766,46913,14,79,4857,on-time,1,M,Eldoret,1
22,43737,47324,30,65,1654,on-time,0,F,Nairobi,1
54,14265,20249,30,127,6215,on-time,0,F,Mombasa,1
55,75990,36343,7,59,5537,late,1,F,Mombasa,1
47,96717,13714,14,43,6341,on-time,0,F,Eldoret,0
26,20386,39953,60,87,9372,on-time,0,M,Eldoret,1
51,42425,9656,60,38,187,on-time,1,F,Mombasa,0
52,48254,6741,30,117,7215,late,1,M,Nairobi,1
39,94863,17661,60,31,2803,on-time,0,M,Nairobi,0
41,58634,32555,30,35,2518,on-time,1,F,Nyeri,1
34,91717,29690,30,141,4247,on-time,1,F,Mombasa,0
27,52662,33833,30,87,1847,on-time,1,M,Nyeri,1
47,91988,38030,7,14,8332,early,0,F,Mombasa,0
40,92527,6704,7,44,138,on-time,0,M,Nyeri,0
49,80452,49123,30,58,7143,on-time,1,F,Kisumu,1
34,15143,42362,30,139,2251,on-time,1,F,Nairobi,1
34,96391,13175,30,8,4037,early,1,F,Nairobi,1
31,20581,13696,60,147,6986,early,1,F,Kisumu,1
26,72443,40023,30,10,308,on-time,1,M,Eldoret,1
57,34424,41209,30,77,699,on-time,0,F,Kisumu,1
19,93844,29054,14,62,8896,on-time,1,F,Nairobi,1
42,46984,22076,14,81,3809,late,1,F,Mombasa,1
56,46505,15986,14,23,7826,early,1,M,Nyeri,1
26,67699,47118,14,66,313,on-time,0,F,Nairobi,1
39,31957,15440,30,75,5823,on-time,1,M,Kisumu,0
21,30464,8960,14,142,6652,late,1,M,Mombasa,1
43,28649,23462,60,29,9868,on-time,0,F,Nairobi,1
46,47065,18821,60,131,6338,on-time,1,M,Kisumu,1
51,97661,28258,14,62,8560,on-time,1,F,Nairobi,1
40,39758,28353,7,124,2508,on-time,1,F,Kisumu,1
54,10596,24416,60,115,8072,on-time,0,F,Kisumu,1
28,21374,23115,60,80,4878,on-time,0,M,Nairobi,1
23,8775,47433,14,74,922,late,1,M,Mombasa,1
35,32388,25968,14,142,6200,on-time,1,M,Nairobi,1
38,26029,23731,30,70,2695,late,1,F,Nairobi,1
59,88981,23785,60,124,8217,on-time,1,F,Mombasa,0
53,58639,40397,14,91,4053,late,0,M,Nairobi,1
58,19645,14828,14,143,3931,on-time,1,M,Nyeri,1
55,36105,5541,30,126,4683,on-time,1,F,Nyeri,0
51,18668,41644,60,53,6335,on-time,1,M,Nyeri,1
34,20960,14311,14,52,8942,late,1,F,Kisumu,1
54,16357,31531,30,119,8083,on-time,1,F,Eldoret,1
42,69604,15588,14,91,6600,on-time,1,M,Nairobi,1
55,56796,13380,7,11,5951,early,0,F,Eldoret,0
29,20804,43645,7,81,1734,late,0,F,Nyeri,1
40,19626,18818,14,149,4914,on-time,0,M,Mombasa,1
59,33132,31857,60,125,1267,on-time,1,M,Nyeri,1
39,12951,22711,7,128,4176,late,0,M,Nairobi,1
38,11449,6097,30,145,8490,late,1,F,Eldoret,1
44,24065,29393,14,129,7058,on-time,1,F,Eldoret,1
48,14130,23076,30,16,5542,late,1,M,Kisumu,1
23,94360,19738,7,75,9647,on-time,0,F,Mombasa,0
44,67287,30317,60,5,6460,early,1,M,Nyeri,0
57,56702,40229,30,123,6799,late,1,F,Mombasa,1
51,41993,8044,7,146,3605,on-time,1,F,Nairobi,0
29,36875,6497,7,115,902,on-time,1,F,Kisumu,0
24,11054,14751,7,68,7727,early,1,F,Nyeri,1
27,53517,30882,30,47,8992,on-time,1,F,Nairobi,1
34,81368,43072,7,45,602,on-time,1,M,Mombasa,1
43,34670,44194,14,119,5925,late,1,M,Kisumu,1
38,54112,44826,7,43,8039,on-time,1,F,Nyeri,1
45,93388,23449,14,5,6132,late,1,M,Mombasa,1
19,94156,45028,60,45,7506,on-time,1,M,Nyeri,1
18,33307,34402,14,92,4819,on-time,1,F,Kisumu,1
53,72087,33543,60,102,7848,early,1,F,Kisumu,1
43,52922,30362,60,92,2970,on-time,0,F,Mombasa,1
46,68080,28315,14,83,4858,on-time,1,M,Nyeri,1
38,98348,28746,60,145,6068,late,1,M,Eldoret,1
28,84335,11057,14,75,9710,on-time,1,M,Nairobi,0
57,31312,47113,30,141,1198,on-time,0,F,Kisumu,1
28,71985,43915,60,103,3269,late,1,F,Nyeri,1
53,62608,22061,14,91,482,on-time,1,F,Mombasa,0
56,94962,35157,60,5,7890,on-time,1,F,Mombasa,0
57,45277,46839,7,146,4040,on-time,1,F,Kisumu,1
52,36551,12322,14,116,9685,late,1,M,Kisumu,1
51,94813,5276,7,78,7552,on-time,1,M,Eldoret,1
41,61597,13306,60,69,6552,early,1,M,Mombasa,1
39,50212,35017,60,73,9944,on-time,0,F,Nyeri,1
22,14637,28742,30,71,4371,late,1,F,Nairobi,1
50,48258,32600,14,54,4423,early,1,M,Nairobi,1
53,40693,18629,7,62,2138,on-time,0,M,Eldoret,0
37,14824,9245,30,57,5561,on-time,1,F,Nyeri,1
36,31950,32414,60,95,8163,early,0,M,Nairobi,1
52,28488,44870,60,119,2085,on-time,1,F,Nairobi,1
34,5215,31098,30,122,1362,late,1,M,Nyeri,1
51,16523,49994,7,61,5831,early,1,M,Nyeri,1
26,80900,11588,60,90,5216,on-time,1,M,Kisumu,0
43,73689,1442,60,22,449,late,1,M,Nairobi,1
19,28834,40744,14,20,540,on-time,1,F,Nairobi,1
26,39474,38443,30,134,2908,on-time,1,F,Eldoret,1
26,48066,12803,60,17,2662,late,1,F,Kisumu,1
57,15400,41721,7,84,3252,on-time,0,M,Kisumu,1
34,15345,38145,14,47,9676,early,1,F,Nairobi,1
18,38896,11599,30,58,8579,on-time,0,M,Mombasa,0
42,90430,8058,7,141,9289,on-time,1,F,Mombasa,1
57,33899,18206,60,77,2433,on-time,0,M,Nyeri,1
59,33229,12894,30,52,9714,on-time,0,F,Kisumu,0
42,10583,3939,30,22,173,late,0,F,Nairobi,1
56,9897,23149,7,15,9754,on-time,0,M,Nairobi,1
52,76537,2031,30,88,7644,late,1,F,Nairobi,1
20,9567,11208,7,23,7049,on-time,1,M,Eldoret,1
54,79807,1562,60,104,2305,early,1,M,Mombasa,0
47,82239,44498,14,120,8721,on-time,0,M,Eldoret,1
55,18329,21951,7,94,1571,on-time,0,F,Nairobi,1
51,76792,49920,14,78,3581,on-time,1,F,Nairobi,1
29,5228,47766,30,28,7638,on-time,0,F,Kisumu,1
36,95282,29351,7,17,3280,on-time,1,F,Kisumu,1
54,87214,19680,60,129,1830,on-time,1,F,Mombasa,1
34,42052,22586,7,120,135,late,1,M,Nyeri,1
27,62769,10308,7,75,1120,late,0,F,Nairobi,1
29,51032,10609,7,130,5634,on-time,0,F,Kisumu,0
33,93721,30495,14,149,7261,on-time,1,F,Mombasa,0
41,38686,18675,14,123,8109,early,1,M,Eldoret,0
36,81981,29064,30,95,3217,early,1,M,Nairobi,1
25,68261,9720,30,89,2635,early,1,M,Nyeri,1
48,7809,43940,30,112,4814,on-time,1,M,Mombasa,1
38,46785,15457,30,131,8437,early,1,F,Nyeri,0
34,41547,3939,7,125,5063,on-time,0,M,Nairobi,0
40,47818,48113,14,133,6191,on-time,1,F,Mombasa,1
54,76927,49926,14,10,1126,on-time,0,F,Kisumu,1
33,70681,39203,14,82,3765,late,1,F,Nyeri,1
23,84465,24365,14,42,1386,late,1,M,Eldoret,1
25,94862,6392,30,120,2946,on-time,1,F,Eldoret,0
42,42333,26905,7,106,8612,on-time,0,M,Nyeri,1
35,21576,8972,14,12,7874,on-time,1,M,Nairobi,0
42,44405,31653,60,82,2393,on-time,1,M,Nairobi,1
29,99000,27329,7,116,1712,on-time,1,M,Nairobi,0
32,78779,20184,60,59,576,early,1,M,Eldoret,1
43,36601,15799,7,52,7526,on-time,0,M,Eldoret,0
58,72946,16052,7,92,9074,on-time,1,M,Kisumu,0
43,72356,7044,7,14,2047,on-time,1,F,Nairobi,1
49,57116,20871,60,56,3431,on-time,0,M,Eldoret,0
27,67894,24767,14,38,5360,on-time,0,F,Eldoret,0
33,39635,48183,14,65,6166,on-time,1,M,Nairobi,1
24,12465,21234,60,148,7747,early,1,F,Nairobi,1
34,61754,22381,14,83,5569,on-time,0,F,Eldoret,0
40,97850,18274,30,22,1693,on-time,1,F,Nyeri,0
43,90119,47626,14,75,7804,early,1,F,Eldoret,1
38,97691,23304,30,90,6254,early,1,M,Kisumu,0
39,43871,18572,30,36,356,late,1,F,Mombasa,1
24,67874,39412,30,47,6612,on-time,1,M,Nairobi,1
31,82733,26965,60,87,3091,late,0,M,Kisumu,1
32,34511,19384,14,73,1517,late,1,M,Nyeri,1
24,85960,18855,14,54,7860,late,1,F,Mombasa,1
26,53821,18920,60,16,8065,early,1,M,Eldoret,1
25,70776,17702,60,89,4214,early,0,F,Nairobi,0
40,75167,38921,14,127,8401,on-time,1,M,Eldoret,1
46,80135,2894,60,62,2652,early,1,F,Kisumu,1
35,49462,31985,60,87,9349,on-time,0,M,Nairobi,1
48,66382,29287,30,116,5507,on-time,0,F,Eldoret,0
47,95194,8991,60,132,4833,late,0,F,Nairobi,1
56,37574,16439,30,40,2142,late,1,M,Kisumu,1
52,46910,30084,7,58,2281,on-time,1,M,Eldoret,1
35,78531,43235,30,51,4592,on-time,0,F,Mombasa,1
59,30186,28659,30,119,3658,on-time,0,F,Nyeri,1
56,99781,25976,60,128,9913,on-time,1,F,Eldoret,0
34,27813,39703,14,100,3758,late,0,F,Nairobi,1
31,83812,18107,7,111,2794,early,1,F,Eldoret,1
48,90525,3329,7,124,3984,on-time,1,F,Nairobi,0
41,83282,43095,7,105,4880,late,1,M,Kisumu,1
52,23557,3770,14,107,3384,early,1,M,Nyeri,0
51,33060,5846,7,36,6052,late,0,F,Nairobi,1
20,63866,17651,7,70,7617,early,0,M,Eldoret,0
54,77104,15633,14,15,6262,late,1,F,Kisumu,1
57,89577,14628,7,41,5206,on-time,1,M,Mombasa,0
43,11080,1569,60,106,2266,early,1,F,Eldoret,0
40,18854,2973,60,53,4497,early,0,F,Nyeri,0
56,72695,36590,30,23,7768,on-time,1,M,Kisumu,1
32,32025,34038,30,11,3492,late,1,M,Eldoret,1
21,57982,8641,30,137,3811,on-time,1,M,Nairobi,1
46,46081,9930,60,46,5979,late,1,F,Nairobi,1
39,9368,7680,60,92,1686,late,0,M,Nairobi,1
42,32094,2257,60,139,9506,early,1,F,Eldoret,0
30,51040,9250,30,15,7238,on-time,1,M,Nyeri,0
35,71766,39138,30,45,7762,on-time,1,M,Nairobi,1
50,88053,29757,30,7,7504,on-time,1,M,Eldoret,0
33,28991,5858,30,44,9937,early,1,F,Eldoret,0
59,6301,42349,30,55,9642,on-time,1,F,Nyeri,1
19,33610,14491,30,36,8656,on-time,1,M,Kisumu,0
52,86463,26294,60,52,4039,on-time,0,F,Kisumu,0
59,39678,46204,14,75,3299,on-time,1,F,Eldoret,1
51,29466,46638,14,93,9918,late,1,M,Kisumu,1
47,85440,7908,30,113,9937,early,0,M,Mombasa,0
30,45875,11844,14,39,7041,on-time,1,M,Nyeri,0
30,31081,38629,14,112,1081,on-time,0,M,Eldoret,1
35,29354,3911,60,44,3652,early,0,F,Kisumu,0
49,98297,9991,30,56,1021,on-time,1,M,Kisumu,0
49,23300,12572,30,116,3758,on-time,1,F,Nyeri,1
52,69384,44066,14,43,4095,on-time,1,M,Nairobi,1
56,65892,30693,30,72,7164,early,0,M,Kisumu,0
46,40525,41004,30,80,5152,on-time,0,M,Nyeri,1
46,31532,39333,30,69,5506,on-time,1,M,Nairobi,1
33,11464,18493,30,66,4377,on-time,1,M,Eldoret,1
27,21562,40697,14,6,1574,early,0,M,Nairobi,1
47,60514,18634,7,138,7198,late,1,F,Kisumu,1
42,79219,25561,14,126,3867,late,1,F,Eldoret,1
56,37634,19033,60,79,6819,on-time,1,F,Eldoret,1
37,5060,8351,7,44,8694,on-time,1,F,Nairobi,1
22,14269,26921,7,93,9439,early,0,F,Eldoret,1
18,68143,20340,7,32,712,late,1,F,Nairobi,1
47,28065,15901,14,84,7386,early,1,F,Nairobi,1
20,7895,11638,60,67,9905,early,0,M,Nairobi,1
31,85859,39596,14,144,3117,on-time,1,F,Nyeri,0
47,17352,22378,60,45,4888,on-time,0,M,Kisumu,1
21,54737,45324,14,33,7202,on-time,1,F,Eldoret,1
35,37016,23820,14,27,3301,early,0,F,Mombasa,1
54,66304,26060,14,84,852,on-time,1,M,Kisumu,0
42,16962,33642,7,55,7656,on-time,1,M,Mombasa,1
18,38302,26378,14,116,1441,on-time,0,M,Nairobi,1
32,90382,9150,60,109,8796,on-time,1,M,Eldoret,0
26,9011,43875,60,49,7114,on-time,1,M,Kisumu,1
32,24782,25059,60,94,6855,on-time,1,F,Mombasa,1
41,72691,35525,7,142,3582,on-time,1,M,Mombasa,0
21,44725,19193,14,139,7828,on-time,0,M,Mombasa,0
29,14196,44967,14,93,5665,on-time,0,M,Kisumu,1
54,48459,28801,30,19,7711,on-time,0,F,Nyeri,1
54,92245,27246,7,81,8030,early,1,M,Nairobi,0
23,83863,13807,60,110,6617,on-time,0,M,Eldoret,0
56,37769,18535,60,94,2522,on-time,1,M,Mombasa,0
41,29700,6492,14,91,8965,on-time,0,F,Kisumu,0
28,85356,32357,60,65,6085,early,1,M,Mombasa,0
30,81427,7302,14,112,7047,late,0,F,Kisumu,1
51,10269,33314,14,65,8884,on-time,0,F,Nyeri,1
42,48880,49697,30,55,7735,on-time,0,M,Mombasa,1
24,13320,5747,7,16,3768,early,1,F,Mombasa,0
21,54589,48006,14,81,6562,on-time,1,F,Eldoret,1
25,81276,42170,14,116,3238,on-time,0,F,Kisumu,1
37,40897,11686,14,70,4609,late,1,F,Kisumu,1
46,63565,38449,30,119,2600,on-time,1,F,Nyeri,1
27,35930,19891,14,34,2893,on-time,1,F,Mombasa,1
51,62233,37196,7,109,4393,on-time,1,M,Eldoret,1
43,87821,30928,7,35,5499,on-time,0,F,Nairobi,0
58,19380,8494,60,17,399,late,0,F,Eldoret,1
20,81896,37723,7,132,2006,on-time,0,M,Eldoret,0
23,75934,30877,60,105,2585,on-time,1,F,Eldoret,0
22,60830,28981,7,71,7559,early,1,M,Eldoret,1
22,10529,15026,60,84,8498,on-time,1,M,Mombasa,1
40,99598,21422,14,107,6220,early,0,F,Eldoret,0
26,87987,10244,30,23,8585,on-time,0,F,Kisumu,0
52,54178,34481,30,147,1973,on-time,1,F,Kisumu,1
37,11937,24644,30,36,6202,early,1,M,Eldoret,1
59,44886,44848,14,69,6272,on-time,1,F,Kisumu,1
52,54699,9521,30,31,6422,on-time,0,M,Mombasa,0
35,81396,2746,7,51,2188,on-time,1,F,Nairobi,0
34,95678,18591,60,16,7737,early,0,F,Eldoret,0
41,30279,27718,14,89,5411,on-time,1,F,Kisumu,1
20,43106,3696,30,70,6587,on-time,0,M,Kisumu,0
49,84737,13012,7,137,6980,on-time,1,M,Mombasa,1
52,45544,15688,7,141,4821,on-time,1,F,Mombasa,0
55,13997,24457,14,114,3526,late,1,M,Nairobi,1
30,90711,6036,14,86,628,early,1,F,Nyeri,0
42,45860,40895,30,129,2024,on-time,1,M,Nyeri,1
26,8225,30960,60,67,6560,on-time,1,M,Nyeri,1
21,64470,37486,30,76,6076,late,1,F,Nairobi,1
31,68656,23159,30,102,6121,on-time,0,F,Eldoret,0
54,56880,8910,14,77,9652,on-time,0,M,Nyeri,0
51,66078,3693,30,75,962,early,1,M,Nyeri,0
28,93646,16858,30,34,4420,late,1,M,Kisumu,1
58,81290,29810,60,129,3594,on-time,0,F,Kisumu,0
20,61633,21092,7,20,6152,on-time,0,F,Eldoret,0
45,31655,24243,7,137,8359,early,0,M,Mombasa,1
46,48601,49700,60,51,1742,late,1,F,Nairobi,1
26,8114,31505,7,105,9312,on-time,0,M,Nyeri,1
20,31502,8692,30,111,5296,early,0,F,Nairobi,0
42,54768,29555,60,130,7099,early,0,F,Kisumu,1
51,53128,7398,60,26,7422,on-time,0,M,Nairobi,0
29,25028,8252,14,87,3243,on-time,1,F,Kisumu,0
59,60565,12721,7,64,1570,on-time,1,M,Nairobi,1
26,88123,18939,14,62,5778,late,0,F,Kisumu,1
32,40333,12825,30,7,1482,on-time,0,M,Nairobi,0
57,8174,26251,60,49,5496,late,1,F,Nyeri,1
42,40398,37955,30,54,9628,on-time,1,F,Nyeri,1
22,40929,25151,7,6,7214,on-time,0,F,Eldoret,1
28,9321,1036,14,19,9534,on-time,0,M,Nairobi,0
51,60421,29412,7,147,1805,on-time,1,M,Mombasa,1
